short_name,full_name,format,section,color1,color2,color3,color4,color5,source,city_val
,"Rate of HIV/AIDS per 1,000 Residents",,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Percent of persons with health insurance,percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,"Number of Event Permits Requested per 1,000 Residents",,Arts and Culture,#FFEBCC,#FDCB97,#FAAB67,#F6903B,#EE7722,,
,"Public Art per 1,000 Residents",,Arts and Culture,#FFEBCC,#FDCB97,#FAAB67,#F6903B,#EE7722,,
,Percentage of Businesses that are Non-Profits,percent,Arts and Culture,#FFEBCC,#FDCB97,#FAAB67,#F6903B,#EE7722,,
,CRA data (residential and commercial),,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,CRA data (residential and commercial),,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Percent of CSA that is Either Low or Moderate income (by Census tract),percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,"Percent  of persons in MOED training programs (per 1,000 residents)",percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Percent of Population with Broadband Internet Access,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Air Quality Risk,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Percent of Area Covered by Impervious Surface,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,"Number of Downspout Disconnections per 1,000 Residences",,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Number of Public Trashcans,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,"Rate of Sewer/Water Main Breaks per 1,000 Residents",,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Natural gas utilization,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Energy Use,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Number of Photovoltaic/Solar Permits,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Aggregate Number of Community Assets,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Transit data ,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,"Number of Bike Racks per 1,000 Residents",,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Road Quality,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Percent  of persons by occupation classification (major classifications),percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Percent Subsidized Housing,percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,"Picture of Subsidized Housing, HUD",
